,重量,貨名,單價,單位,倉位,date,Origin,brand,name,grade,category
90,抄,美 national 去骨牛小排 cab,$ 120.0,磅,其士,11-sep-23.pdf,美,national beef,去骨牛小排,,Beef
91,抄,美 excel 去骨牛小排 choice p-86e,$ 100.0,磅,其士,11-sep-23.pdf,美,excel,去骨牛小排,,Beef
92,抄,美 excel 肥牛肉 pastrami prime 6x12,$ 4 3.0,磅,其士,11-sep-23.pdf,美,excel,肥牛肉 pastrami prime 6x12,,Beef
93,抄,美 ibp 肥牛肉 pastrami prime 6x12,$ 4 9.0,磅,其士,11-sep-23.pdf,美,ibp,肥牛肉 pastrami prime 6x12,,Beef
94,抄,美 ibp 肥牛肉 pastrami cab 6x12,$ 4 7.0,磅,其士,11-sep-23.pdf,美,ibp,肥牛肉 pastrami cab 6x12,,Beef
95,抄,美 ibp 肥牛肉 pastrami choice 6x12,$ 4 3.0,磅,其士,11-sep-23.pdf,美,ibp,肥牛肉 pastrami choice 6x12,,Beef
96,抄,美 excel 肥牛肉 pastrami prime 9x12 p-86m/r,$ 3 7.0,磅,其士,11-sep-23.pdf,美,excel,肥牛肉 pastrami prime 9x12 p-86m/r,9x12,Beef
97,抄,美 excel 肥牛肉 pastrami choice 9x12 p-86/r/k,$ 3 4.0,磅,其士,11-sep-23.pdf,美,excel,肥牛肉 pastrami choice 9x12 p-86/r/k,9x12,Beef
98,抄,加 excel 肥牛肉 pastrami a/aa 9x12 p-93,$ 3 2.0,磅,其士,11-sep-23.pdf,加,excel,肥牛肉 pastrami a/aa 9x12 p-93,9x12,Beef
99,抄**,墨 sukarne 肥牛肉 super obento plate,$ 2 0.5,磅,其士,11-sep-23.pdf,墨,sukarne,肥牛肉 super obento plate,,Beef
100,抄,英國 肥牛肉 super upper plate,$ 2 2.5,磅,其士,11-sep-23.pdf,英,pif paf,er plate,,
101,抄,美 ibp 肥牛肉 karubi prime,$ 3 8.5,磅,其士,11-sep-23.pdf,美,ibp,肥牛肉 karubi prime,,Beef
102,抄,美 ibp 肥牛肉 karubi cab,$ 3 8.5,磅,其士,11-sep-23.pdf,美,ibp,肥牛肉 karubi cab,,Beef
