,productName,productTag,supplier,category,packing,origin,brand,effectiveDate,spec1,spec2,spec3,spec4,spec5,spec6,price,weightUnit,warehouse,notes
94,"25KG 豬寸骨(1KG/包, 啡盒)",豬寸骨,萬祥,PORK,25kg,中國,,2024-01-22,,,,,,,52.0,kg,裕林,
96,抄碼 灰白羊( UNSIZED),灰白羊,萬祥,LAMB,抄,阿根廷,,2024-01-22,UNSIZED,,,,,,36.5,kg,裕林,
98,15KG 納晨 300+雞扒,雞扒,萬祥,CHICKEN,15kg,中國,納晨,2024-01-22,+300G,,,,,,7.4,lb,裕林,
99,12KG 納晨帶皮雞上脾,雞上脾,萬祥,CHICKEN,12kg,中國,納晨,2024-01-22,帶皮,,,,,,15.2,kg,裕林,
100,12KG 納晨去皮雞上脾,雞上脾,萬祥,CHICKEN,12kg,中國,納晨,2024-01-22,去皮,,,,,,17.2,kg,裕林,
101,12KG 納晨 去皮雞大胸,雞大胸,萬祥,CHICKEN,12kg,中國,納晨,2024-01-22,去皮,,,,,,13.2,kg,裕林,
102,10KG 納晨 IQF雞小胸,雞柳,萬祥,CHICKEN,10kg,中國,納晨,2024-01-22,IQF,,,,,,13.8,kg,裕林,
103,10KG 納晨 IQF雞小胸,雞柳,萬祥,CHICKEN,10kg,中國,納晨,2024-01-22,IQF,,,,,,13.5,kg,嘉威,
104,A5 和牛帶蓋肉眼西冷,和牛帶蓋肉眼,萬祥,WAGYU,,日本,,2024-01-22,A5,,,,,,480.0,kg,裕林,
106,A3 和牛肉眼西冷,和牛肉眼,萬祥,WAGYU,,日本,,2024-01-22,A3,,,,,,,kg,裕林,
107,A4 和牛肉眼西冷,和牛肉眼,萬祥,WAGYU,,日本,,2024-01-22,A4,,,,,,580.0,kg,裕林,
108,A5 和牛肉眼西冷,和牛肉眼,萬祥,WAGYU,,日本,,2024-01-22,A5,,,,,,620.0,kg,裕林,
109,A5特 和牛肉眼西冷,和牛肉眼,萬祥,WAGYU,,日本,,2024-01-22,A5,A5特,,,,,700.0,kg,裕林,
111,A4 和牛肉眼 (細切),和牛肉眼,萬祥,WAGYU,,日本,,2024-01-22,A4,細切,,,,,,kg,裕林,
112,A4 和牛西冷(細切),和牛西冷,萬祥,WAGYU,,日本,,2024-01-22,A4,細切,,,,,,kg,裕林,
113,A5 和牛肉眼(細切),和牛肉眼,萬祥,WAGYU,,日本,,2024-01-22,A5,細切,,,,,,kg,裕林,
114,A5 和牛西冷(細切),和牛西冷,萬祥,WAGYU,,日本,,2024-01-22,A5,細切,,,,,,kg,裕林,
115,和牛上腦(細切),和牛上腦,萬祥,WAGYU,,日本,,2024-01-22,細切,,,,,,,kg,裕林,
116,和牛三角肥牛(細切),和牛三角,萬祥,WAGYU,,日本,,2024-01-22,細切,,,,,,,kg,裕林,
