id,productName,supplier,category,packing,origin,brand,EffectiveDate,spec1,spec2,spec3,spec4,spec5,spec6,price,weightUnit,warehouse,notes
70,牛細腩包,金山,Beef,抄,巴,minerva,11-sep-23.pdf,,,,,,,$ 1 4.8,磅,其士,
71,牛細腩包,金山,Beef,抄,巴,plena,11-sep-23.pdf,,,,,,,$ 1 4.8,磅,其士,
72,牛冧,金山,Beef,抄,巴,anglo,11-sep-23.pdf,,,,,,,$ 1 7.5,磅,其士,
73,牛冧,金山,Beef,抄,巴,boi brasil,11-sep-23.pdf,,,,,,,$ 1 7.5,磅,其士,
74,牛冧,金山,Beef,抄,紐,affco,11-sep-23.pdf,,,,,,,$ 2 6.5,磅,其士,
75,牛肩肋條(有label),金山,Beef,抄,美,ibp,11-sep-23.pdf,,,,,,,$ 4 3.0,磅,其士,
76,牛肋條,金山,Beef,抄,美,national beef,11-sep-23.pdf,,,,,,,$ 4 1.0,磅,其士,
77,金 錢 𦟌,金山,,抄,美,national beef,11-sep-23.pdf,,,,,,,$ 3 3.5,磅,其士,
78,金 錢 𦟌 choice (有label),金山,,抄,美,ibp,11-sep-23.pdf,,,,,,,$ 3 5.0,磅,其士,
79,金 錢 𦟌 nr (有label),金山,,抄,美,ibp,11-sep-23.pdf,,,,,,,$ 3 5.0,磅,其士,
80,牛 前 𦟌,金山,Beef,抄,巴,boi brasil,11-sep-23.pdf,,,,,,,$ 1 2.0,磅,其士,
81,肩胛,金山,Beef,抄,美,ibp,11-sep-23.pdf,,,,,,,$ 8 2.5,磅,其士,
82,肩胛,金山,Beef,抄,美,ibp,11-sep-23.pdf,,,,,,,$ 8 0.0,磅,其士,
83,肩胛,金山,Beef,抄,美,ibp,11-sep-23.pdf,,,,,,,$ 8 0.0,磅,其士,
84,肩胛,金山,Beef,抄,美,ibp,11-sep-23.pdf,,,,,,,$ 8 0.0,磅,其士,
85,肩胛,金山,Beef,抄,美,ibp,11-sep-23.pdf,,,,,,,$ 5 9.0,磅,其士,
86,肩胛,金山,Beef,抄,美,ibp,11-sep-23.pdf,,,,,,,$ 5 9.0,磅,其士,
87,肩胛,金山,Beef,抄,美,ibp,11-sep-23.pdf,,,,,,,$ 5 9.0,磅,其士,
88,去骨牛小排,金山,Beef,抄,美,excel,11-sep-23.pdf,,,,,,,$ 143.0,磅,其士,
89,去骨牛小排,金山,Beef,抄,美,national beef,11-sep-23.pdf,,,,,,,$ 148.0,磅,其士,
90,去骨牛小排,金山,Beef,抄,美,national beef,11-sep-23.pdf,,,,,,,$ 120.0,磅,其士,
91,去骨牛小排,金山,Beef,抄,美,excel,11-sep-23.pdf,,,,,,,$ 100.0,磅,其士,
92,肥牛肉 pastrami prime 6x12,金山,Beef,抄,美,excel,11-sep-23.pdf,,,,,,,$ 4 3.0,磅,其士,
93,肥牛肉 pastrami prime 6x12,金山,Beef,抄,美,ibp,11-sep-23.pdf,,,,,,,$ 4 9.0,磅,其士,
94,肥牛肉 pastrami cab 6x12,金山,Beef,抄,美,ibp,11-sep-23.pdf,,,,,,,$ 4 7.0,磅,其士,
95,肥牛肉 pastrami choice 6x12,金山,Beef,抄,美,ibp,11-sep-23.pdf,,,,,,,$ 4 3.0,磅,其士,
96,肥牛肉 pastrami prime 9x12 p-86m/r,金山,Beef,抄,美,excel,11-sep-23.pdf,9x12,,,,,,$ 3 7.0,磅,其士,
97,肥牛肉 pastrami choice 9x12 p-86/r/k,金山,Beef,抄,美,excel,11-sep-23.pdf,9x12,,,,,,$ 3 4.0,磅,其士,
98,肥牛肉 pastrami a/aa 9x12 p-93,金山,Beef,抄,加,excel,11-sep-23.pdf,9x12,,,,,,$ 3 2.0,磅,其士,
99,肥牛肉 super obento plate,金山,Beef,抄**,墨,sukarne,11-sep-23.pdf,,,,,,,$ 2 0.5,磅,其士,
100,er plate,金山,,抄,英,pif paf,11-sep-23.pdf,,,,,,,$ 2 2.5,磅,其士,
101,肥牛肉 karubi prime,金山,Beef,抄,美,ibp,11-sep-23.pdf,,,,,,,$ 3 8.5,磅,其士,
102,肥牛肉 karubi cab,金山,Beef,抄,美,ibp,11-sep-23.pdf,,,,,,,$ 3 8.5,磅,其士,
103,肥牛肉 karubi choice,金山,Beef,抄,美,ibp,11-sep-23.pdf,,,,,,,$ 3 7.5,磅,其士,
104,肥牛肉 short plate,金山,Beef,抄,美,excel,11-sep-23.pdf,,,,,,,$ 2 1.0,磅,其士,
105,橫隔肌,金山,Beef,抄,美,ibp,11-sep-23.pdf,,,,,,,$ 5 0.0,磅,其士,
106,橫隔肌,金山,Beef,抄,美,ibp,11-sep-23.pdf,,,,,,,$ 4 8.0,磅,其士,
107,橫隔肌,金山,Beef,抄,美,ibp,11-sep-23.pdf,,,,,,,$ 3 9.0,磅,其士,
108,牛仔膝(穀飼),金山,Beef,抄,荷,tboer,11-sep-23.pdf,穀飼,,,,,,$ 4 1.0,磅,其士,
109,白牛仔柳,金山,Beef,抄,荷,tboer,11-sep-23.pdf,,,,,,,$ 100.0,磅,其士,
110,豬肋排,金山,Pork,抄,美,smithfield,11-sep-23.pdf,零售,,,,,,$ 2 5.0,磅,其士,
111,豬四肉,金山,Pork,抄,巴,alegra,11-sep-23.pdf,,,,,,,$ 9 .0,磅,其士,
112,豬四肉,金山,Pork,25kg,巴,aurora,11-sep-23.pdf,,,,,,,$ 8 .8,磅,其士,
113,豬四肉,金山,Pork,抄,巴,palmali,11-sep-23.pdf,,,,,,,$ 8 .8,磅,其士,
114,豬下梅肉,金山,Pork,抄,西,artigas duroc,11-sep-23.pdf,,,,,,,$ 3 5.0,磅,其士,
115,豬扒,金山,Pork,抄,西,artigas duroc,11-sep-23.pdf,,,,,,,$ 4 2.0,磅,其士,
116,豬背骨,金山,Pork,抄,西,pernam ibericos,11-sep-23.pdf,,,,,,,$ 6 5.0,kg,其士,
117,豬梅肉,金山,Pork,抄,西,jamondul ibericos,11-sep-23.pdf,,,,,,,$ 198.0,kg,其士,
118,豬下梅肉,金山,Pork,抄,西,jamondul ibericos,11-sep-23.pdf,,,,,,,$ 140.0,kg,其士,
119,豬扒,金山,Pork,抄,西,jamondul ibericos,11-sep-23.pdf,,,,,,,$ 190.0,kg,其士,
120,豬肋條,金山,Pork,抄,西,jamondul ibericos,11-sep-23.pdf,,,,,,,$ 135.0,kg,其士,
121,豬手,金山,Pork,20kg*,巴,frimesa,11-sep-23.pdf,,,,,,,$ 5 .4,磅,其士,
122,後筒骨,金山,Pork,20kg,波,,11-sep-23.pdf,,,,,,,$ 2 .2,磅,其士,
123,豬前筒骨,金山,Pork,20kg,波,,11-sep-23.pdf,,,,,,,$ 2 .2,磅,其士,
124,豬軟骨,金山,Pork,10kg,挪 威,p109,11-sep-23.pdf,,,,,,,$ 1 0.5,磅,其士,
125,頸骨,金山,Pork,抄,巴,dom glutao,3-april-23.pdf,,,,,,,$ 5 .2,磅,其士,
126,牛前筒骨,金山,Beef,抄,巴,dom glutao,3-april-23.pdf,,,,,,,$ 5 .2,磅,其士,
127,牛坑腩,金山,Beef,抄,英 國,hewitt,3-april-23.pdf,,,,,,,$ 8 .0,磅,其士,
128,牛坑腩,金山,Beef,抄,巴,boi brasil,3-april-23.pdf,,,,,,,$ 1 4.5,磅,其士,
129,牛下肩肉眼卷,金山,Beef,抄,加,excel,3-april-23.pdf,1x1,,,,,,$ 3 9.0,磅,其士,
130,牛下肩肉眼卷,金山,Beef,抄,美,ibp,3-april-23.pdf,1x1,,,,,,$ 3 9.0,磅,其士,
131,牛下肩肉眼卷,金山,Beef,抄,美,excel,3-april-23.pdf,1x1,,,,,,$ 3 8.5,磅,其士,
132,肩 胛 翼 prime,金山,,抄,美,excel,3-april-23.pdf,,,,,,,$ 7 8.0,磅,其士,
133,肩 胛 翼 cab,金山,,抄,美,excel,3-april-23.pdf,,,,,,,$ 5 8.0,磅,其士,
134,牛頭肉,金山,Beef,15kg*,阿,bustos,3-april-23.pdf,,,,,,,$ 8 .0,磅,其士,
135,牛頭肉,金山,Beef,10kg,阿,ifssa,3-april-23.pdf,,,,,,,$ 8 .0,磅,其士,
136,牛面肉,金山,Beef,10kg*,阿,ifssa,3-april-23.pdf,,,,,,,$ 1 1.0,磅,其士,
137,牛面肉,金山,Beef,12kg,阿,ifssa,3-april-23.pdf,,,,,,,$ 1 1.0,磅,其士,
138,牛細腩包,金山,Beef,抄,巴,minerva,3-april-23.pdf,,,,,,,$ 2 1.0,磅,其士,
139,牛細腩包,金山,Beef,抄**,巴,plena,3-april-23.pdf,,,,,,,$ 1 9.0,磅,其士,
140,牛細腩包,金山,Beef,抄,巴,boi brasil,3-april-23.pdf,,,,,,,$ 1 9.0,磅,其士,
141,牛冧,金山,Beef,抄,澳,midfield,3-april-23.pdf,,,,,,,$ 2 8.0,磅,其士,
142,牛冧,金山,Beef,抄,紐,affco,3-april-23.pdf,,,,,,,$ 2 8.0,磅,其士,
143,鯉魚管,金山,Beef,抄,巴,gejota,3-april-23.pdf,,,,,,,$ 2 1.5,磅,其士,
144,牛肋腩條,金山,Beef,抄,阿,conallison,3-april-23.pdf,,,,,,,$ 1 7.5,磅,其士,
145,牛板腱,金山,Beef,抄,美,ibp,3-april-23.pdf,,,,,,,$ 5 4.0,磅,其士,
146,牛板腱,金山,Beef,抄,加,excel,3-april-23.pdf,,,,,,,$ 4 8.5,磅,其士,
147,牛板腱,金山,Beef,抄,美,ibp,3-april-23.pdf,,,,,,,$ 5 0.0,磅,其士,
148,牛板腱,金山,Beef,抄,加,excel,3-april-23.pdf,,,,,,,$ 3 9.0,磅,其士,
149,牛t骨 (0x1) cab,金山,Beef,抄**,美,ibp,3-april-23.pdf,,,,,,,$ 7 6.0,磅,其士,
150,(s) 牛t骨,金山,Beef,抄,阿,conallison,3-april-23.pdf,,,,,,,$ 3 3.0,磅,其士,
151,牛仔骨,金山,Beef,抄,德,,3-april-23.pdf,3/4,,,,,,$ 1 5.5,磅,其士,
152,牛仔骨,金山,Beef,抄,英,,3-april-23.pdf,,,,,,,$ 1 8.0,磅,其士,
153,牛仔骨,金山,Beef,抄,英,kepak,3-april-23.pdf,,,,,,,$ 2 1.5,磅,其士,
154,牛仔骨,金山,Beef,抄,加,excel,3-april-23.pdf,,,,,,,$ 2 8.0,磅,其士,
155,牛仔骨,金山,Beef,抄,加,excel,3-april-23.pdf,,,,,,,$ 6 2.0,磅,其士,
156,牛仔骨,金山,Beef,抄,美,national beef,3-april-23.pdf,,,,,,,$ 6 2.0,磅,其士,
157,牛仔骨,金山,Beef,抄,美,ibp,3-april-23.pdf,,,,,,,$ 4 8.0,磅,其士,
158,牛仔骨,金山,Beef,抄,美,showcase,3-april-23.pdf,,,,,,,$ 3 0.0,磅,其士,
159,肩胛,金山,Beef,抄,美,ibp,3-april-23.pdf,,,,,,,$ 8 2.0,磅,其士,
160,肩胛,金山,Beef,抄,美,ibp,3-april-23.pdf,,,,,,,$ 8 2.0,磅,其士,
161,肩胛,金山,Beef,抄,美,ibp,3-april-23.pdf,,,,,,,$ 5 3.0,磅,其士,
162,肩胛,金山,Beef,抄,美,ibp,3-april-23.pdf,,,,,,,$ 5 3.0,磅,其士,
163,肩胛,金山,Beef,抄,美,ibp,3-april-23.pdf,,,,,,,$ 5 3.0,磅,其士,
164,去骨牛小排,金山,Beef,抄,加,canadian diamond,3-april-23.pdf,,,,,,,$ 108.0,磅,其士,
165,豬肋排,金山,Pork,抄,巴,alegra,3-april-23.pdf,分包,,,,,,$ 1 2.0,磅,其士,
166,豬肋排,金山,Pork,抄**,巴,alibem,3-april-23.pdf,分包,,,,,,$ 1 2.5,磅,其士,
167,豬肋排,金山,Pork,22kg,巴,palmali,3-april-23.pdf,餅裝,,,,,,$ 8 .4,磅,其士,
168,豬肋排,金山,Pork,抄,美,smithfield,3-april-23.pdf,,,,,,,$ 3 3.0,磅,其士,
169,豬四肉,金山,Pork,抄,巴,palmali,3-april-23.pdf,,,,,,,$ 1 2.5,磅,其士,
170,豬梅肉,金山,Pork,抄,西,artigas duroc,3-april-23.pdf,,,,,,,$ 3 2.0,磅,其士,
171,豬下梅肉,金山,Pork,抄,西,artigas duroc,3-april-23.pdf,,,,,,,$ 3 0.0,磅,其士,
172,豬扒,金山,Pork,抄,西,artigas duroc,3-april-23.pdf,,,,,,,$ 4 1.0,磅,其士,
