,productName,productTag,supplier,category,packing,origin,brand,effectiveDate,spec1,spec2,spec3,spec4,spec5,spec6,price,weightUnit,warehouse,notes
104,bustos牛柏葉 #4750,牛柏葉,鸿泰,BEEF,12k,,BUSTOS,2023-05-31,,,,,,,24.80p,lb,其士,
105,美麗華 牛仔扒 (2911廠),牛仔扒,鸿泰,BEEF,抄,美國,MINERVA,2023-05-31,,,,,,,17.00p,lb,光1,
106,美麗華 牛肋條,牛肋條,鸿泰,BEEF,抄,美國,MINERVA,2023-05-31,,,,,,,29.50p,lb,其士,
107,q.b 牛肋條,牛肋條,鸿泰,BEEF,抄,,,2023-05-31,,,,,,,清,lb,其士,
108,美麗華孖根,,鸿泰,,抄,美國,MINERVA,2023-05-31,,,,,,,8.20p,lb,其士,
109,bustos 孖根#4750 100件留5.40p,,鸿泰,,15k,,BUSTOS,2023-05-31,,,,,,,5.60p,lb,其士,
110,off 孖根#4407,,鸿泰,,20k,,OFFAL,2023-05-31,,,,,,,6.20p,lb,其士,
111,excel aaa 3支骨牛仔骨,牛仔骨,鸿泰,BEEF,抄,,EXCEL,2023-05-31,3支骨,AA,AAA,,,,40.00p,lb,光1,
112,frigon 牛腩,牛腩,鸿泰,BEEF,抄,,FRIGON,2023-05-31,,,,,,,14.60p,lb,其士,
113,美麗華牛腩,牛腩,鸿泰,BEEF,抄,美國,MINERVA,2023-05-31,,,,,,,13.70p,lb,其士,
114,ibp(pastrams)cab肥牛6x12,,鸿泰,,抄,,IBP,2023-05-31,6X12,CAB,,,,,44.00p,lb,其士,
115,ibp prime 肩甲肥牛 不分廠,,鸿泰,,抄,,IBP,2023-05-31,PRIME,,,,,,81.50p,lb,其士,
116,肩胛肥牛ibp ch 對三角 245l,牛下肩肉眼卷,鸿泰,BEEF,抄,,IBP,2023-05-31,245L廠,,,,,,50.00p,lb,其士,
117,肩胛肥牛ibpcab 278,牛下肩肉眼卷,鸿泰,BEEF,抄,,IBP,2023-05-31,278廠,CAB,,,,,55.50p,lb,光1,
118,肩胛肥牛ibpcab 278,牛下肩肉眼卷,鸿泰,BEEF,抄,,IBP,2023-05-31,278廠,CAB,,,,,55.00p,lb,nan,
119,肩胛肥牛ibpcab 245j,牛下肩肉眼卷,鸿泰,BEEF,抄,,IBP,2023-05-31,245J廠,CAB,,,,,56.00p,lb,其士,
120,肩胛肥牛ibpcab 245j,牛下肩肉眼卷,鸿泰,BEEF,抄,,IBP,2023-05-31,245J廠,CAB,,,,,56.00p,lb,嘉威,
121,肩胛肥牛ibpcab 245c,牛下肩肉眼卷,鸿泰,BEEF,抄,,IBP,2023-05-31,245C廠,CAB,,,,,56.00p,lb,其士,
122,墨西哥 肥牛,,鸿泰,,抄,墨西哥,,2023-05-31,,,,,,,19.60p,lb,其士,
123,墨西哥 肥牛,,鸿泰,,抄,墨西哥,,2023-05-31,,,,,,,19.60p,lb,光1,
124,ibp cab 牛小排 ( 245c),去骨牛小排,鸿泰,BEEF,抄,,IBP,2023-05-31,245C廠,CAB,,,,,122.00p,lb,其士,
125,ibp cab 牛小排 ( 245j),去骨牛小排,鸿泰,BEEF,抄,,IBP,2023-05-31,245J廠,CAB,,,,,119.00p,lb,其士,
126,ibp cab 牛小排 ( 245l),去骨牛小排,鸿泰,BEEF,抄,,IBP,2023-05-31,245L廠,CAB,,,,,118.00p,lb,其士,
127,algera削骨豬扒,豬扒,鸿泰,PORK,抄,,,2023-05-31,削骨,,,,,,8.50p,lb,其士,
128,seara 削骨豬扒,豬扒,鸿泰,PORK,抄,,SEARA,2023-05-31,削骨,,,,,,8.50p,lb,其士,
129,alb 削骨 豬扒,豬扒,鸿泰,PORK,抄,,,2023-05-31,削骨,,,,,,9.90p,lb,其士,
130,seara 梅肉 #1897,豬梅肉,鸿泰,PORK,抄,,SEARA,2023-05-31,,,,,,,10.90p,lb,其士,
131,百萬利梅肉#12,豬梅肉,鸿泰,PORK,20k,,,2023-05-31,,,,,,,清,lb,沙2,
132,fm 梅肉#727 留11.40p,豬梅肉,鸿泰,PORK,20k,,FRIMESA,2023-05-31,,,,,,,11.60p,lb,其士,
133,梅肉 ibp 4粒庄,豬梅肉,鸿泰,PORK,抄,,IBP,2023-05-31,,,,,,,22.30p,lb,其士,
134,梅肉,豬梅肉,鸿泰,PORK,25k,,興源,2023-05-31,,,,,,,50.00k,kg,其士,
135,梅肉,豬梅肉,鸿泰,PORK,25k,,鴻鷹,2023-05-31,,,,,,,39.00k,kg,其士,
136,fm#727 四肉 100件$9.8p 留9.90p,豬四肉,鸿泰,PORK,25k,,FRIMESA,2023-05-31,,,,,,,10.00p,lb,其士,
137,中國四肉,豬四肉,鸿泰,PORK,25k,中國,,2023-05-31,,,,,,,9.50p,lb,其士,
138,中國三肉 ( 大約11-15條 ),豬肉眼,鸿泰,PORK,25k,中國,,2023-05-31,11/15,,,,,,13.00p,lb,其士,
139,fm三肉,豬肉眼,鸿泰,PORK,25k,,FRIMESA,2023-05-31,,,,,,,13.80p,lb,沙2,
140,seara 三肉,豬肉眼,鸿泰,PORK,抄,,SEARA,2023-05-31,,,,,,,13.50p,lb,光1,
141,auora 豬仔骨,,鸿泰,,10k,,,2023-05-31,,,,,,,10.30p,lb,其士,
142,auora 豬仔骨,,鸿泰,,10k,,,2023-05-31,,,,,,,10.30p,lb,光1,
143,中國 脊標 80件留7.60p 留單7.80p,,鸿泰,,25k,中國,,2023-05-31,,,,,,,8.00p,lb,其士,
144,auora 腩排條,,鸿泰,,10k,,,2023-05-31,,,,,,,10.00p,lb,其士,
145,fm 肋排#727 留11.60p,豬肋排,鸿泰,PORK,20k,,FRIMESA,2023-05-31,,,,,,,11.80p,lb,沙2,
146,fm 肋排#727 留11.60p,豬肋排,鸿泰,PORK,20k,,FRIMESA,2023-05-31,,,,,,,11.80p,lb,其士,
147,sadia肋排 #716 留單11.10p,豬肋排,鸿泰,PORK,18k,,SADIA,2023-05-31,,,,,,,11.20p,lb,光1,
148,sadia肋排 #1 留單11.60p,豬肋排,鸿泰,PORK,18k,,SADIA,2023-05-31,,,,,,,11.70p,lb,光1,
149,alibem 有骨腩,,鸿泰,,抄,,ALIBEM,2023-05-31,有骨,,,,,,14.70p,lb,嘉2,
150,alibem 有骨腩,,鸿泰,,抄,,ALIBEM,2023-05-31,有骨,,,,,,14.70p,lb,沙2,
151,fm 有骨腩#727,,鸿泰,,25k,,FRIMESA,2023-05-31,有骨,,,,,,13.20p,lb,其士,
152,111 deill 挑骨腩,,鸿泰,,抄,,,2023-05-31,挑骨,,,,,,15.20p,lb,沙2,
153,584a 挑骨腩,,鸿泰,,抄,,P584,2023-05-31,挑骨,,,,,,14.30p,lb,其士,
154,5009a 挑骨腩 留單13.30p,,鸿泰,,抄,,,2023-05-31,挑骨,,,,,,13.50p,lb,其士,
155,fm 豬耳,,鸿泰,,15k,,FRIMESA,2023-05-31,,,,,,,9.50p,lb,其士,
156,fm 豬肚,豬肚,鸿泰,PORK,18k,,FRIMESA,2023-05-31,,,,,,,9.50p,lb,其士,
157,ex 豬肚,豬肚,鸿泰,PORK,18k,,EXCEL,2023-05-31,,,,,,,8.50p,lb,其士,
158,fm豬手#727,豬手,鸿泰,PORK,20k,,FRIMESA,2023-05-31,,,,,,,4.90p,lb,其士,
159,fm豬手#727,豬手,鸿泰,PORK,20k,,FRIMESA,2023-05-31,,,,,,,4.90p,lb,光1,
160,fm 豬腳 727,,鸿泰,,20k,,FRIMESA,2023-05-31,,,,,,,3.90p,lb,其士,
161,sadia 豬腳,,鸿泰,,12k,,SADIA,2023-05-31,,,,,,,3.50p,lb,光1,
162,雞殼 留單50件$2.4lb,,鸿泰,,15k,中國,中佳,2023-05-31,,,,,,,2 . 6 0 p,lb,其士,
163,sadia 雞軟骨,雞軟骨,鸿泰,CHICKEN,12k,,SADIA,2023-05-31,,,,,,,14.20p,lb,光1,
164,生雞軟骨串,雞軟骨,鸿泰,CHICKEN,300串,,,2023-05-31,,,,,,,710件,lb,其士,
165,炭燒雞肉串,,鸿泰,,300串,,,2023-05-31,,,,,,,380件,lb,其士,
166,麥樂雞 (2.5k x 6),麥樂雞塊,鸿泰,PREMADE,15k,,,2023-05-31,2.5K+,,,,,,350件,lb,其士,
167,竹雞(600-700g),,鸿泰,,15只,,,2023-05-31,,,,,,,360件,lb,其士,
168,竹雞(700-800g),,鸿泰,,13只,,,2023-05-31,,,,,,,360件,lb,其士,
169,竹雞(800-900g),,鸿泰,,12只,,,2023-05-31,+900G,,,,,,360件,lb,其士,
170,米鴨1.4/1.5,米鴨,鸿泰,POULTRY,8只,,,2023-05-31,,,,,,,17.00k,kg,其士,
171,米鴨1.8 /1.9k,米鴨,鸿泰,POULTRY,8只,,,2023-05-31,,,,,,,17.00k,kg,其士,
172,"山東生鴨胸 200/220,220/240",鴨胸,鸿泰,POULTRY,10k,,,2023-05-31,+200G,220/240,,,,,9.00p,lb,其士,
173,"(  ) 生鴨胸 200/220,220/240",鴨胸,鸿泰,POULTRY,10k,英國,華英,2023-05-31,+200G,220/240,,,,,9.30p,lb,其士,
174,山東黑椒煙鴨胸,鴨胸,鸿泰,POULTRY,10k,,,2023-05-31,,,,,,,30.00k,kg,其士,
175,(  ) 黑椒煙鴨胸,鴨胸,鸿泰,POULTRY,10k,英國,華英,2023-05-31,,,,,,,,lb,其士,
176,山東 煙鴨胸 留單28.80k,鴨胸,鸿泰,POULTRY,10k,,,2023-05-31,,,,,,,29.00k,kg,其士,
