,productName,productTag,supplier,category,packing,origin,brand,effectiveDate,spec1,spec2,spec3,spec4,spec5,spec6,price,weightUnit,warehouse,notes
97, 牛腩,牛腩,盈星,BEEF,,巴西,FRIGON,2022.01.25,,,,,,,13.6,kg,沙2,
98,G.J. 牛腩P2015,牛腩,盈星,BEEF,,巴西,,2022.01.25,,,,,,,12.5,kg,沙2,
99,MATABOI 牛腩,牛腩,盈星,BEEF,,巴西,BOI BRASIL,2022.01.25,,,,,,,12.5,kg,沙2,
100, 牛腩,牛腩,盈星,BEEF,,巴西,MINERVA,2022.01.25,,,,,,,12.4,kg,沙2,
101, 牛腩P4060,牛腩,盈星,BEEF,,巴西,PLENA,2022.01.25,,,,,,,12.6,kg,沙2,
102, 牛腩P4413,牛腩,盈星,BEEF,,巴西,QUALITY BEEF,2022.01.25,,,,,,,13.7,kg,沙2,
103,FRISA 牛肋條,牛肋條,盈星,BEEF,,巴西,,2022.01.25,,,,,,,20.7,kg,沙2,
104, 牛肋條,牛肋條,盈星,BEEF,,巴西,ANGLO,2022.01.25,,,,,,,20.3,kg,沙2,
105, 牛肋條P431,牛肋條,盈星,BEEF,,巴西,MINERVA,2022.01.25,,,,,,,20.6,kg,沙2,
106, 牛肋條(不分廠),牛肋條,盈星,BEEF,,巴西,MINERVA,2022.01.25,,,,,,,20.3,kg,沙2,
107, 金錢展,金錢𦟌,盈星,BEEF,,巴西,ANGLO,2022.01.25,,,,,,,34.5,kg,沙2,
107, 金錢展,金錢𦟌,盈星,BEEF,,巴西,ANGLO,2022.01.25,,,,,,,34.5,kg,其士,
108,FRISA 金錢展(不分廠),金錢𦟌,盈星,BEEF,,巴西,,2022.01.25,,,,,,,48.5,kg,沙2,
109, 金錢展P431,金錢𦟌,盈星,BEEF,,巴西,MINERVA,2022.01.25,,,,,,,36.0,kg,沙2,
110, 金錢展(不分廠),金錢𦟌,盈星,BEEF,,巴西,MINERVA,2022.01.25,,,,,,,35.0,kg,沙2,
