,productName,productTag,supplier,category,packing,origin,brand,effectiveDate,spec1,spec2,spec3,spec4,spec5,spec6,price,weightUnit,warehouse,notes
81,鞍山 中翼(禾鳳鳴)(50g+)(IQF),雞中翼,新兴,CHICKEN,10K,中國,,2024-03-04,50G+,,,,,,17.8P,lb,光1,
82,鞍山 雞全髀(禾鳳鳴)(20-22)(22-24),雞白髀,新兴,CHICKEN,15K,,,2024-03-04,,,,,,,7.9P,lb,光1,
83,鞍山 雞全髀(禾鳳鳴)(26-28),雞白髀,新兴,CHICKEN,15K,,,2024-03-04,,,,,,,7.4P,lb,光1,
84,鞍山 雞全髀(禾鳳鳴)(30-32),雞白髀,新兴,CHICKEN,15K,,,2024-03-04,,,,,,,6.4P,lb,光1,
85,鞍山 雞全髀(禾鳳鳴)(32-34),雞白髀,新兴,CHICKEN,15K,,,2024-03-04,2/3,,,,,,清,lb,光1,
86,大連 雞全髀(吉農佳)(24-26),雞白髀,新兴,CHICKEN,15K,,,2024-03-04,,,,,,,7.3P,lb,光1,
87,巴西 雞下髀(GUI BON)(IQF),雞下髀,新兴,CHICKEN,15K,巴西,,2024-03-04,,,,,,,6.8P,lb,光1,
88,中國 雞扒(120-140g)(2Kg x 6),雞扒,新兴,CHICKEN,12K,中國,,2024-03-04,120/150,,,,,,清,lb,光1,
89,中國 去皮雞肉粒(1.3 x 1.3cm)(5Kg x 3包),,新兴,,15K,中國,,2024-03-04,去皮,,,,,,23.0K,kg,光1,
90,中國 梅肉(白盒)(優選),豬梅肉,新兴,PORK,25K,中國,,2024-03-04,,,,,,,28.0K,kg,光1,
91,中國 豬面肉(精品)(城)(白盒),,新兴,,25K,中國,,2024-03-04,,,,,,,34.0K,kg,光1,
92,巴西 梅肉(SEARA),豬梅肉,新兴,PORK,抄碼,巴西,,2024-03-04,,,,,,,9.2P,lb,光1,
93,巴西 梅肉(FRIVATTI),豬梅肉,新兴,PORK,抄碼,巴西,,2024-03-04,,,,,,,9.2P,lb,光1,
94,巴西 梅肉(),豬梅肉,新兴,PORK,抄碼,巴西,ALIBEM,2024-03-04,,,,,,,10.4P,lb,光1,
95,巴西 梅肉(ENCIA),豬梅肉,新兴,PORK,20K,巴西,EXCEL,2024-03-04,,,,,,,10.3P,lb,光1,
96,巴西 二肉(),豬二肉,新兴,PORK,抄碼,巴西,ALIBEM,2024-03-04,,,,,,,9.0P,lb,光1,
97,巴西 二肉(ENCIA),豬二肉,新兴,PORK,抄碼,巴西,EXCEL,2024-03-04,,,,,,,9.0P,lb,光1,
98,巴西 三肉(),豬肉眼,新兴,PORK,抄碼,巴西,ALIBEM,2024-03-04,,,,,,,10.2P,lb,光1,
99,巴西 三肉(),豬肉眼,新兴,PORK,20K,巴西,PIF PAF,2024-03-04,,,,,,,10.6P,lb,光1,
100,美國 三肉(),豬肉眼,新兴,PORK,抄碼,美國,IBP,2024-03-04,,,,,,,16.0P,lb,光1,
101,巴西 四肉(),豬四肉,新兴,PORK,抄碼,巴西,ALIBEM,2024-03-04,,,,,,,10.0P,lb,光1,
102,巴西 大排()(P-727),,新兴,,25K,巴西,FRIMESA,2024-03-04,,,,,,,8.4P,lb,光1,
103,巴西 削骨大排(FRIVATTI),,新兴,,抄碼,巴西,,2024-03-04,,,,,,,8.5P,lb,光1,
104,墨西哥 肋排(分包)(KEKEN),豬肋排,新兴,PORK,抄碼,墨西哥,,2024-03-04,,,,,,,11.0P,lb,光1,
105,巴西 肋排(分包)(NOTABLE),豬肋排,新兴,PORK,抄碼,巴西,,2024-03-04,,,,,,,11.8P,lb,光1,
106,巴西 肋排(分包)(COOPAVEL),豬肋排,新兴,PORK,抄碼,巴西,,2024-03-04,,,,,,,12.3P,lb,光1,
107,德國 肋排(餅裝)(窄切)(皇冠),豬肋排,新兴,PORK,10K,德國,,2024-03-04,,,,,,,10.8P,lb,光1,
108,德國 肋排(餅裝)(WEST FLEISCH),豬肋排,新兴,PORK,10K,德國,,2024-03-04,,,,,,,11.3P,lb,光1,
109,德國 肋排(餅裝)(),豬肋排,新兴,PORK,10K,德國,TONNIES,2024-03-04,,,,,,,11.5P,lb,光1,
110,巴西 大腸(),豬大腸,新兴,PORK,10K,巴西,AURORA,2024-03-04,,,,,,,15.0P,lb,光1,
111,巴西 背肋排(),豬肋排,新兴,PORK,10K,巴西,AURORA,2024-03-04,,,,,,,12.0P,lb,光1,
112,越南 乳豬(A8),,新兴,,9K,,,2024-03-04,,,,,,,82.0K,kg,光1,
113,越南 乳豬(A8),,新兴,,11K,,,2024-03-04,,,,,,,74.0K,kg,光1,
114,越南 乳豬(A8),,新兴,,15K,,,2024-03-04,,,,,,,63.5K,kg,光1,
115,越南 乳豬(A8),,新兴,,17K,,,2024-03-04,,,,,,,清,lb,光1,
116,越南 乳豬(A8),,新兴,,21K,,,2024-03-04,,,,,,,60.0K,kg,光1,
117,越南 魚柳(約8成 藍帶)(300+)(IQF),,新兴,,10K,,,2024-03-04,+300G,,,,,,7.2P,lb,光1,
118,越南 魚柳(約7成 綠帶)(220-300)(IQF),,新兴,,10K,,,2024-03-04,+300G,20/30,,,,,6.4P,lb,光1,
119,越南 魚柳(約7成 綠帶)(300+)(IWP),,新兴,,10K,,,2024-03-04,+300G,,,,,,6.4P,lb,光1,
120,越南 魚柳(約6成 黃帶)(220-300)(IQF),,新兴,,10K,,,2024-03-04,+300G,20/30,,,,,5.4P,lb,光1,
