,productName,productTag,supplier,category,packing,origin,brand,effectiveDate,spec1,spec2,spec3,spec4,spec5,spec6,price,weightunit,warehouse,notes
196,和牛牛胸,,萬祥,Beef,,日本,,萬祥20230822.pdf,,,,,,,$340.0,kg,['裕林'],
197,和牛牛仔骨,牛仔骨,萬祥,Beef,,日本,,萬祥20230822.pdf,,,,,,,$340.0,kg,['裕林'],
198,和牛三角肥牛,肩胛肥牛肉,萬祥,Beef,,日本,,萬祥20230822.pdf,,,,,,,$430.0,kg,['裕林'],
199,和牛上腦,,萬祥,Beef,,日本,,萬祥20230822.pdf,,,,,,,$340.0,kg,['裕林'],
200,和牛牛冧,牛冧,萬祥,Beef,,日本,,萬祥20230822.pdf,,,,,,,清,kg,['裕林'],
201,和牛針扒,,萬祥,Beef,,日本,,萬祥20230822.pdf,,,,,,,清,kg,['裕林'],
202,和牛燴扒,,萬祥,Beef,,日本,,萬祥20230822.pdf,,,,,,,清,kg,['裕林'],
203,和牛尾扒,牛尾,萬祥,Beef,,日本,,萬祥20230822.pdf,,,,,,,$340.0,kg,['裕林'],
204,和牛小肉,,萬祥,Beef,,日本,,萬祥20230822.pdf,,,,,,,$200.0,kg,['裕林'],
206,抄碼 86M廠 EXCEL CAB 牛小排,去骨牛小排,萬祥,Beef,抄,美國,excel,萬祥20230828.pdf,,,,,,,$118.0,lb,['裕林'],
207,抄碼 86M廠 EXCEL CHOICE 牛小排,去骨牛小排,萬祥,Beef,抄,美國,excel,萬祥20230828.pdf,choice,,,,,,$105.0,lb,['裕林'],
208,抄碼 245L 廠 IBP CHOICE 牛小排,去骨牛小排,萬祥,Beef,抄,美國,,萬祥20230828.pdf,choice,,,,,,$105.0,lb,['光輝1倉'],
209,抄碼 86K廠 EXCEL CHOICE 三支牛仔骨,牛仔骨,萬祥,Beef,抄,美國,excel,萬祥20230828.pdf,choice,,,,,,$42.0,lb,['裕林'],
210,抄碼 86E廠 EXCEL CAB 三支牛仔骨,牛仔骨,萬祥,Beef,抄,美國,excel,萬祥20230828.pdf,,,,,,,$45.0,lb,['裕林'],
211,抄碼 86E廠 EXCEL 肥牛,,萬祥,Beef,抄,美國,excel,萬祥20230828.pdf,,,,,,,$21.0,lb,['裕林'],
213,抄碼 PLENA 3/4牛柳(去邊),牛柳,萬祥,Beef,抄,巴西,plena,萬祥20230828.pdf,3/4,,,,,,$36.0,lb,['裕林'],
214,抄碼 PLENA 4/5牛柳(去邊),牛柳,萬祥,Beef,抄,巴西,plena,萬祥20230828.pdf,,,,,,,$37.0,lb,['裕林'],
