category,Standard_product,,,,,,
Poultry,鴨舌,,,,,,
Poultry,鵝腳,,,,,,
Poultry,鵝腎,,,,,,
Chicken,全雞,,,,,,
Chicken,雞全翼,,,,,,
Chicken,雞 下髀,,,,,,
Chicken,鳳爪,,,,,,
Chicken,雞中翼,,,,,,
Premade,麥樂雞塊,,,,,,
Premade,鹽酥雞粒,,,,,,
Premade,炭燒雞腿肉串,,,,,,
Premade,成燒雞腿蔥串,,,,,,
Poultry,米鴨,,,,,,
Poultry,鴨腿,,,,,,
Poultry,鴨胸,,,,,,
Premade,雞肉腸,,,,,,
Vegetable,青豆,,,,,,
Vegetable,粟米,,,,,,
Vegetable,雜菜,,,,,,
Vegetable,薯條,,,,,,
Vegetable,薯餅,,,,,,
Vegetable,薯角,,,,,,
Vegetable,薯格,,,,,,
Chicken,日本森林雞即食雞胸肉,,,,,,
Seafood,青邊鮑魚,,,,,,
Seafood,黑遴鮑魚,,,,,,
Seafood,黃螺頭,,,,,,
Seafood,海參,,,,,,
Seafood,珊瑚蛙,,,,,,
Seafood,帶子,,,,,,
Seafood,刺身帶子,,,,,,
Seafood,熟帆立貝,,,,,,
Seafood,煮食用帶子,,,,,,
Seafood,翡翠螺,,,,,,
Seafood,黃金螺,,,,,,
Seafood,原隻熟膏口,,,,,,
Seafood,半殼青口,,,,,,
Seafood,青口肉,,,,,,
Seafood,藍青口,,,,,,
Seafood,蠔肉,,,,,,
Seafood,銀鱈魚,,,,,,
Seafood,比目魚,,,,,,
Seafood,黃立鯧,,,,,,
Seafood,去皮鯰魚柳,,,,,,
Seafood,青衣魚柳,,,,,,
Seafood,石斑魚柳,,,,,,
Seafood,羅非魚,,,,,,
Seafood,羅非魚柳,,,,,,
Seafood,三文魚,,,,,,
Seafood,鮟鰄魚塊,,,,,,
Seafood,青衣魚塊,,,,,,
Seafood,藍尖属無損鱈魚塊 ,,,,,,
Seafood,比目魚扒,,,,,,
Seafood,銀鱈魚扒,,,,,,
Seafood,三文魚扒,,,,,,
Seafood,三文魚柳,,,,,,
Seafood,白蝦肉,,,,,,
Seafood,生鳳尾白蝦肉,,,,,,
Seafood,熟鳳尾虎蝦肉,,,,,,
Seafood,原隻虎蝦,,,,,,
Seafood,軟殼蟹,,,,,,
Seafood,熟雪蟹爪,,,,,,
Seafood,原隻熟龍蝦,,,,,,
Seafood,墨魚柳,,,,,,
Premade,仿蟹柳,,,,,,
Premade,炸帶子,,,,,,
Premade,燒魚卷,,,,,,
Premade,迷你燒魚卷,,,,,,
Premade,鳴門卷,,,,,,
Premade,吉列炸蠔,,,,,,
Vegetable,甘筍球,,,,,,
Meatball,花枝丸,,,,,,
Meatball,香菇貢丸,,,,,,
Meatball,魚籽仿龍蝦球,,,,,,
Meatball,麻吉燒,,,,,,
Meatball,龍蝦丸,,,,,,
Meatball,白魚蛋,,,,,,
Meatball,牛筋丸,,,,,,
Meatball,黑椒牛筋丸,,,,,,
Meatball,蝦滑,,,,,,
Meatball,海鮮雜錦,,,,,,
Meatball,炸魚塊,,,,,,
Meatball,蝦多士,,,,,,
Meatball,吉列蝦漢堡,,,,,,
Beef,西冷 Striploin サ-ロイン,,,,,,
Beef,肉眼 Ribeye リプアイロ-ル,,,,,,
Beef,肋益肉 Rib Cap リプキャッ,,,,,,
Beef,牛柳 Tenderloin ヒレ,,,,,,
Beef,牛上脑/爱胛肉眼 Chuck Roll 力タ口-ス,,,,,,
Beef,沙巴當 Zabuton(Chuck Flap) ザプトン,,,,,,
Beef,上局胛肉/前腿肉 Clod ツデ,,,,,,
Beef,肩胛小排/三角腩 Chuck Rib サンカクバラ,,,,,,
Beef,牛小排/内腹肉 Short Rib ウチバラ,,,,,,
Beef,胸腹肉/外腹肉 Short Plate ソトバラ,,,,,,
Beef,内後腿肉 Top Round ウチモモ,,,,,,
Beef,外後瑟肉 Bottom Round ソトモモ,,,,,,
Beef,和尚頭/牛冧 Knuckle マル,,,,,,
Beef,上後腰脊多 Top SirloinButt ラム,,,,,,
Beef,西冷 Striploin サ-ロイン,,,,,,
Beef,肉眼 Ribeye リプアイロ-ル,,,,,,
Beef,肋蓋肉 Rib Cap リプキャップ,,,,,,
Beef,西冷 Striploin サ-ロイン,,,,,,
Beef,西冷 Striploin サ-ロイン,,,,,,
Beef,肉眼 Ribeye リプロ-ス,,,,,,
Beef,肉眼 Ribeye リプロ-ス,,,,,,
Beef,肉眼頂蓋 Rib Cap りフ* ロ-スカフ*リ,,,,,,
Beef,肉眼頂蓋 Rib Cap りフ* ロ-スカフ*リ,,,,,,
Beef,牛柳 Tenderloin ヒレ,,,,,,
Beef,牛柳 Tenderloin ヒレ,,,,,,
Beef,牛上腾/肩胛肉眼 Chuck EyeRoll クラシタ,,,,,,
Beef,牛上腾/肩胛肉眼 Chuck EyeRoll クラシタ,,,,,,
Beef,沙巴當 Chuck Flap(Zabuton) ザプトン,,,,,,
Beef,沙巴當 Chuck Flap(Zabuton) ザプトン,,,,,,
Beef,上肩房胛肉/前腿肉 ShoulderClod ウデ,,,,,,
Beef,上肩房胛肉/前腿肉 ShoulderClod ウデ,,,,,,
Beef,辣椒肉 Chuck Tender トンビ,,,,,,
Beef,辣椒肉 Chuck Tender トンビ,,,,,,
Beef,屑胛小排/三角腩 Chuck ShortRib 三角バラ,,,,,,
Beef,屑胛小排/三角腩 Chuck ShortRib 三角バラ,,,,,,
Beef,牛小排組 Short Rib Set 中パラペッ カイノミ,,,,,,
Beef,牛小排組 Short Rib Set 中パラペッ カイノミ,,,,,,
Beef,外腹肉組 Short PlateSet 外バラ+フランク+インサイド,,,,,,
Beef,外腹肉組 Short PlateSet 外バラ+フランク+インサイド,,,,,,
Beef,内後腿肉 Top Round 内ヒラ,,,,,,
Beef,内後腿肉 Top Round 内ヒラ,,,,,,
Beef,外後腿肉 BottomRound 外ヒラ,,,,,,
Beef,外後腿肉 BottomRound 外ヒラ,,,,,,
Beef,和尚頭/牛冧 Knuckle マル,,,,,,
Beef,和尚頭/牛冧 Knuckle マル,,,,,,
Beef,友三角 Tri-Tip ヒウチ,,,,,,
Beef,友三角 Tri-Tip ヒウチ,,,,,,
Beef,爵肉 Rump ラムイチ,,,,,,
Beef,爵肉 Rump ラムイチ,,,,,,
Beef,臂蓋肉 Rump Cap イチ冭,,,,,,
Beef,臂蓋肉 Rump Cap イチ冭,,,,,,
Beef,帶骨牛腩,,,,,,
Beef,牛草肚,,,,,,
Beef,牛膀,,,,,,
Beef,牛小腸,,,,,,
Beef,Plate Eye肥牛,,,,,,
Beef,Short Plate肥牛,,,,,,
Chicken,雞髀肉,,,,,,
Chicken,上脾肉,,,,,,
Pork,豬頸骨,,,,,,
Pork,燒排骨,,,,,,
Pork,豬全手,,,,,,
Pork,豬踭,,,,,,
Pork,豬肚,,,,,,
Pork,豬大腸,,,,,,
Pork,豬舌,,,,,,
Meatball,墨魚丸,,,,,,
Meatball,豬肉丸,,,,,,
Meatball,牛丸,,,,,,
Meatball,墨魚腐皮卷,,,,,,
Seafood,海鮮什錦,,,,,,
Premade,仿鮑片,,,,,,
Premade,仿蟹柳,,,,,,
Premade,芝士腸 ,,,,,,
Premade,火腿,,,,,,
Premade,脆皮腸,,,,,,
Meatball,炸魚蛋,,,,,,
Premade,司華力腸,,,,,,
